category,word
Eşya,KiTAP
Eşya,BUZDOLABI
Eşya,KALEM
Eşya,BİLGİSAYAR
Eşya BONCUK
Eşya,DEFTER
Eşya,TELEVİZYON
Eşya,TERLİK
Eşya,ELBİSE
Eşya,SÖZLÜK
Eşya,BONCUK
Eşya,TELEFON
Eşya,ABAJUR
Eşya,ÇERÇEVE
İsim,MURAT
İsim,MASAL
İsim,ZEYNEP
İsim,LALE
İsim,NESLİHAN
İsim,KERİM
İsim,HÜRKAN
İsim,HASAN
İsim,ELİF
İsim,MEHMET
İsim,SABİHA
İsim,FİLİZ
İsim,BURCU
İsim,DUYGU
İsim,NESRİN
İsim,MAHMUT
İsim,ASUMAN
İsim,DORUK
İsim,SELİN
İsim,SEMİH
İsim,PAKİZE
İsim,AHMET
İsim,BEKİR
İsim,CEREN
İsim,ENGİN
İsim,TUANA
İsim,UMUT
İsim,URAS
İsim,UMAY
Hayvan,GERGEDAN
Hayvan,mayDFJKFJEPKOJFUOTJITEUINEITBTOETHTJHOIYH5OTEIUERNIREREIJRIRTHTIUIEHTETUITHTUETIJTEIUTjhyyyyyyy
Hayvan,ASLAN
Hayvan,SİNEK
Hayvan,KÖPEK
Hayvan,KAPLUMBAĞA
Hayvan,KEDİ
Hayvan,BALIK
Hayvan,KÖPEKBALIĞI
Hayvan,YUNUS
Hayvan,BALİNA
Hayvan,VATOZ
Hayvan,HAMSİ
Hayvan,KEÇİ
Hayvan,ÖRDEK
Hayvan,TAVUK
Hayvan,HOROZ
Hayvan,HİNDİ
Hayvan,TAVŞAN
Hayvan,İNEK
Hayvan,EŞEK
Hayvan,KOYUN
Hayvan,BOĞA
Hayvan,OĞLAK
Hayvan,TIRTIL
Hayvan,KELEBEK
Hayvan,UĞURBÖCEĞİ
Hayvan,ÖRÜMCEK
